io_industry,io_industry_name,upstreamness
336213,Motor home manufacturing,1.012255
336214,Travel trailer and camper manufacturing,1.258694
336300,Motor vehicle parts manufacturing,2.295051
336411,Aircraft manufacturing,1.283283
336412,Aircraft engine and engine parts manufacturing,2.694185
336413,Other aircraft parts and auxiliary equipment manufacturing,2.430147
336414,Guided missile and space vehicle manufacturing,1.633018
33641A,Propulsion units and parts for space vehicle and guided missiles,2.021602
336500,Railroad rolling stock manufacturing,1.774936
336611,Ship building and repairing,1.311445
336612,Boat building,1.033576
336991,"Motorcycle, bicycle, and parts manufacturing",1.219898
336992,"Military armored vehicle, tank, and tank component manufacturing",1.069563
336999,All other transportation equipment manufacturing,1.224218
337110,Wood kitchen cabinet and countertop manufacturing,2.100219
337121,Upholstered household furniture manufacturing,1.007245
337122,Nonupholstered wood household furniture manufacturing,1.005199
337127,Institutional furniture manufacturing,1.086546
33712A,Metal and other household furniture (except wood) manufacturing,1.095818
337212,Office furniture and custom architectural woodwork and millwork manufacturing,1.225291
337215,"Showcase, partition, shelving, and locker manufacturing",1.46821
33721A,"Wood television, radio, and sewing machine cabinet manufacturing",2.007962
337910,Mattress manufacturing,1.028845
337920,Blind and shade manufacturing,1.041274
339111,Laboratory apparatus and furniture manufacturing,1.038281
339112,Surgical and medical instrument manufacturing,1.438459
339113,Surgical appliance and supplies manufacturing,1.694542
339114,Dental equipment and supplies manufacturing,1.733966
339115,Ophthalmic goods manufacturing,1.057229
339116,Dental laboratories,2.006519
339910,Jewelry and silverware manufacturing,1.139179
339920,Sporting and athletic goods manufacturing,1.084966
339930,"Doll, toy, and game manufacturing",1.030368
339940,Office supplies (except paper) manufacturing,1.980701
339950,Sign manufacturing,1.134041
339991,"Gasket, packing, and sealing device manufacturing",3.132913
339992,Musical instrument manufacturing,1.153763
339994,"Broom, brush, and mop manufacturing",1.809248
33999A,All other miscellaneous manufacturing,1.436005
420000,Wholesale trade,1.891922
481000,Air transportation,1.613762
482000,Rail transportation,2.880222
